;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
94;GPR;1850;185;1499;166;lai;6;0,9999861999320416;0,07011570435028391;0,005693203595458018;0,000114087062862555;0,0036517895368990416;0,999986188715628;0,29148996750228884;Not saved
95;MTN;1850;185;1499;166;lai;6;0,997859936700883;0,46681953323975556;0,11104022350882592;0,020319055022105924;0,09013506987793518;0,9975401922002508;3,0651779311599956;Not saved
96;ANN;1850;185;1499;166;cab;7;0,9986463445672049;4,045653577863121;1,265086180394428;2,2746901162016027;1,1855086221486975;0,9984194387435803;2,8377009727456444;Not saved
97;RFR;1850;185;1499;166;cab;7;0,9985367625509909;11,180494056837532;0,8534612521586967;2,1061460979002176;0,5705836478046429;0,9985365510233722;1,3395868576602832;Not saved
98;GPR;1850;185;1499;166;cab;7;0,9999992388615103;0,18628453943466106;0,021418439223741002;0,0010979232895481983;0,012158271394923759;0,9999992371114634;0,06717774886309594;Not saved
99;MTN;1850;185;1499;166;cab;7;0,9994489330366577;5,308097120343589;0,708672722840473;0,928387623173418;0,5085678450157438;0,9993549127867237;1,2578393314699006;Not saved
100;ANN;1850;185;1499;166;cw;7;0,9946337075271516;0,0006146173158198525;0,0001379731512438403;3,0660239462758714e-08;0,00012111344672422874;0,9939177245073787;2,683840383501044;Not saved
101;RFR;1850;185;1499;166;cw;7;0,04080950257587301;0,00572457382572655;0,001856186699349605;4,851509765476563e-06;0,0019179019421008284;0,037573761137351336;39,518952526412804;Not saved
102;GPR;1850;185;1499;166;cw;7;0,9999953964580552;1,902400975644595e-05;3,406189041423601e-06;2,3451237994672945e-11;2,357580538588696e-06;0,9999953478220449;0,06271781549796737;Not saved
103;MTN;1850;185;1499;166;cw;7;0,9954962927305226;0,000770833052574923;0,00010605895938946328;2,3682172871018702e-08;7,63570185445873e-05;0,9953020099585205;2,0045630270115513;Not saved
104;ANN;1850;185;1499;166;cm;7;0,9911894467221104;0,0012239510541202422;0,00015023462355309304;4,75768634444308e-08;0,0001186943444441424;0,9908524684094335;3,3506739898874134;Not saved
105;RFR;1850;185;1499;166;cm;7;0,20562898330448753;0,004564788649601149;0,001714468885497847;4,136114767229512e-06;0,0016002280051080169;0,20475546817768397;38,637557606627205;Not saved
106;GPR;1850;185;1499;166;cm;7;0,9999937165692122;2,360319858379749e-05;3,848630107332597e-06;3,314067467824224e-11;2,50718349648852e-06;0,9999936280925936;0,09642906875048685;Not saved
107;MTN;1850;185;1499;166;cm;7;0,9941990774905077;0,0011874592745097275;0,00011748201927046528;3,276240550717869e-08;8,795560024042574e-05;0,9937008218351782;2,718462740296716;Not saved
108;ANN;1850;185;1499;166;lai;7;0,9875913590821948;1,4371817212286633;0,26102592695526516;0,11389538631890789;0,20377986115845248;0,986038899391228;6,250259013261897;Not saved
109;RFR;1850;185;1499;166;lai;7;0,9409253708366793;2,6473781450196086;0,4704701282173243;0,48521850129174915;0,2985579067743718;0,9405227504580044;14,80688194093858;Not saved
110;GPR;1850;185;1499;166;lai;7;0,9999926357224302;0,03809184367560725;0,005406143284193486;6,0247414336919674e-05;0,0039541869515615224;0,9999926149755476;0,15698671438963255;Not saved
111;MTN;1850;185;1499;166;lai;7;0,9958042390116424;0,603210216693939;0,17871349424618188;0,0481576363188784;0,17115825839742793;0,9940969197483911;4,206196376227255;Not saved
112;ANN;1850;185;1499;166;cab;8;0,9981124171736075;6,28111414463514;1,1299264875543065;2,1872269927404075;0,9333988724308675;0,9981009904965359;2,1661465074985196;Not saved
113;RFR;1850;185;1499;166;cab;8;0,9989032820163307;8,111532286075203;0,7332313046433943;1,2676317845964649;0,5331393932354089;0,9988994078740654;1,186348877667645;Not saved
114;GPR;1850;185;1499;166;cab;8;0,9999992046372622;0,13458376943388828;0,02055090772000793;0,0009211378078640597;0,01252415741152646;0,9999992002432958;0,042527310161283936;Not saved
115;MTN;1850;185;1499;166;cab;8;0,9990372488037288;3,6007163250361316;1,0427504127278193;1,6836556726848015;0,9271028569468793;0,9985382047068724;1,7289039702421245;Not saved
116;ANN;1850;185;1499;166;cw;8;0,993816143620839;0,0006627206026267249;0,00015707081742365756;4,328455371818614e-08;0,00012761776082529123;0,9919532049204247;3,047173161586638;Not saved
117;RFR;1850;185;1499;166;cw;8;0,014657169725013075;0,00492611871323975;0,001960224121767934;5,30060457054392e-06;0,0017866161410984949;0,01459354173481131;42,62010168558343;Not saved
118;GPR;1850;185;1499;166;cw;8;0,9999962674585041;2,2670345661936382e-05;3,049383120381876e-06;2,007890840344091e-11;2,2194590777585826e-06;0,999996267239755;0,06195663706769068;Not saved
119;MTN;1850;185;1499;166;cw;8;0,9896978002041542;0,0008395529014304228;0,00018829951403212132;6,193798939311978e-08;0,00014077503311843084;0,9884854465282857;3,6486016361286517;Not saved
120;ANN;1850;185;1499;166;cm;8;0,9941886020654566;0,0005419437829516358;0,00018244286686525829;5,027466567876319e-08;0,00015801598854818977;0,9908660909386433;3,8924727225808184;Not saved
121;RFR;1850;185;1499;166;cm;8;0,2581349895748579;0,004649241657809664;0,0017262487294264909;4,086168894351951e-06;0,0016308876653975172;0,25762420124613583;38,68718813032934;Not saved
122;GPR;1850;185;1499;166;cm;8;0,9999957750968619;1,8622066481101263e-05;3,399536407951745e-06;2,3378878299959248e-11;2,36073246412654e-06;0,9999957525217629;0,07496531618378319;Not saved
123;MTN;1850;185;1499;166;cm;8;0,9957475782862989;0,0007643911938263028;0,00012632051561383358;2,986948724046394e-08;0,0001029536080717746;0,994573306923471;2,733415595414587;Not saved
124;ANN;1850;185;1499;166;lai;8;0,987120220784526;1,5024046192324612;0,23338678165980395;0,10689126674003269;0,15570593751203532;0,9866136241267878;4,785002962738692;Not saved
125;RFR;1850;185;1499;166;lai;8;0,9286981978956692;3,2870363209743445;0,48359020577255846;0,5695685113002235;0,29193361181909516;0,928670896974643;15,132820600168381;Not saved
126;GPR;1850;185;1499;166;lai;8;0,9999953237233518;0,03244369377831724;0,004287206540831039;3,737626735426102e-05;0,002861529740469493;0,9999953192362782;0,10607529688683348;Not saved
127;MTN;1850;185;1499;166;lai;8;0,9964527654608712;0,9559373322998095;0,1385908146796434;0,037989131888287064;0,09713344924729994;0,995242485059229;2,6568789632950898;Not saved
128;ANN;1850;185;1499;166;cab;9;0,9964622725380343;18,93826976847845;1,2083790951240643;4,261828752352656;0,8969816149810956;0,9964620473682313;2,1802896556349207;Not saved
