;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
52;ANN;50;5;40;5;cw;4;0,2572116467380786;0,0038138922148548;0,0021424206165595984;6,139913382584995e-06;0,0019316511052441176;-1,942458880210351;27,140845351101273;Not saved
53;RFR;50;5;40;5;cw;4;-0,4786037002636483;0,0037564064932110106;0,0021899870289478845;6,602447971593868e-06;0,0019397290262425258;-2,1641214549127654;27,696296536987177;Not saved
54;GPR;50;5;40;5;cw;4;0,8663293017592348;0,0007168544690052802;0,00044091305242507565;2,9424936134367053e-07;0,0006841181567874078;0,8589855275910446;5,440773803022641;Not saved
55;MTN;50;5;40;5;cw;4;0,5628604671679811;0,003939530371419654;0,002124388814531181;5,425189730155667e-06;0,0018483741164884906;-1,5999385827820443;28,41305636782332;Not saved
56;ANN;50;5;40;5;cm;4;0,2892789330338338;0,003975716283349813;0,002411569135072813;7,310465708511898e-06;0,002998060796253807;-2,475850906660311;71,88818164463474;Not saved
57;RFR;50;5;40;5;cm;4;0,6080336698679354;0,00411129628527435;0,002522272562355335;7,186248788582287e-06;0,0024408384427447435;-2,416790443076278;81,50176543236896;Not saved
58;GPR;50;5;40;5;cm;4;0,6104691214913219;0,0014595472156676108;0,0007653191577313913;8,213873370583273e-07;0,0005893389699284102;0,6094612800236161;19,213039728140007;Not saved
59;MTN;50;5;40;5;cm;4;0,11132121446915921;0,005138804999916376;0,0028219258336305473;9,832348970757537e-06;0,0028174751822245482;-3,6749113459099876;82,76563650005218;Not saved
60;ANN;50;5;40;5;lai;4;0,6768945445384795;2,7901881332652945;1,5524453987612152;3,257563127877977;1,4925825221565354;-0,2419654441623793;48,81565926603393;Not saved
61;RFR;50;5;40;5;lai;4;-0,6711388029659033;7,060559366496209;2,955280465002543;13,116928691919963;2,011413646330135;-4,000907589323887;142,0917269032369;Not saved
62;GPR;50;5;40;5;lai;4;0,011279552785169122;3,427725537986428;1,1514890718799777;2,742138773748784;0,8124110066119572;-0,045456823522027845;55,032065363298834;Not saved
63;MTN;50;5;40;5;lai;4;0,39859357107177495;2,985797225977697;1,535112120771709;3,803564366743405;1,8936547150380565;-0,45013168515935575;37,41949942228939;Not saved
64;ANN;50;5;40;5;cab;5;0,8552449616029177;34,407825041522344;9,413500317989797;249,55699069757247;5,503520650864445;0,8237578183128957;10,05766192177842;Not saved
65;RFR;50;5;40;5;cab;5;0,9524668000260554;18,559011114248094;7,1365326861830685;85,35561493699211;4,645073285997366;0,9397201426668501;9,626053356208335;Not saved
66;GPR;50;5;40;5;cab;5;0,9994876297042098;2,3787313679173536;0,775077243723991;1,2704259756564817;0,4253348037994442;0,9991027995449223;1,0797452582459324;Not saved
67;MTN;50;5;40;5;cab;5;0,6913836780094358;49,84115939210828;15,439547828848465;562,7790753552698;10,09634528512925;0,6025540628166068;18,7315605260212;Not saved
68;ANN;50;5;40;5;cw;5;0,7034118751807901;0,0017117307296641363;0,0008606201807103827;1,149820210923588e-06;0,00067306310861365;0,6485827091490654;12,258243533318968;Not saved
69;RFR;50;5;40;5;cw;5;0,49658255014603747;0,002813460136503048;0,0011822566198257903;2,2477552664632415e-06;0,0009364610489808528;0,31302297634692877;15,48821031977819;Not saved
70;GPR;50;5;40;5;cw;5;0,9974486323113421;0,00022853897096575607;0,00010236772001779478;1,8420986977935046e-08;8,06867421539112e-05;0,9943700299602609;1,3408262505905488;Not saved
71;MTN;50;5;40;5;cw;5;0,7107428801524791;0,0017088333851345075;0,0008948320574491341;1,1108694162070018e-06;0,000885495999696985;0,6604871639723101;14,587746349529903;Not saved
72;ANN;50;5;40;5;cm;5;0,8211448585051775;0,0021769712904321442;0,0009223849143759185;1,300322556634413e-06;0,0006904759969941767;0,820777931936369;22,359979750171604;Not saved
73;RFR;50;5;40;5;cm;5;-0,37615053270138077;0,004884690964906217;0,0027555707638707585;1,0788474334724672e-05;0,0022503132249800098;-0,486963885734065;53,253427397291645;Not saved
74;GPR;50;5;40;5;cm;5;0,9982475137928252;0,00031183986345596597;0,00010714539459169212;2,3647673463632668e-08;7,834895942405995e-05;0,9967406664435513;1,7525727319690838;Not saved
75;MTN;50;5;40;5;cm;5;0,8300453481636246;0,002355656702243019;0,0007449647974149161;1,2720104705144636e-06;0,00027563109020809634;0,8246801565034382;20,320995997165806;Not saved
76;ANN;50;5;40;5;lai;5;0,6993632345907368;1,7488605761014622;1,4472284739271135;2,2566416784192764;1,620285094270463;0,6448866045669424;28,294331240820114;Not saved
77;RFR;50;5;40;5;lai;5;0,5837875171150289;3,223075552717789;1,327998210861275;2,9488483425321954;1,4217495699035894;0,5359584299323614;29,491942127228803;Not saved
78;GPR;50;5;40;5;lai;5;0,9992520119846858;0,15418911264019064;0,06532456884987595;0,007236047936958198;0,030739721909828432;0,9988613090075472;1,4911690956332084;Not saved
79;MTN;50;5;40;5;lai;5;0,8039592510051574;1,4843599581205051;1,1916145746961564;1,4948016155747208;1,3522123285561545;0,7647725457338053;23,682330557420634;Not saved
80;ANN;50;5;41;4;cab;6;0,9248452100462135;10,269989445698585;7,722731537590805;62,50936343864086;7,245524692214097;0,9158282187524938;14,700815746524162;Not saved
81;RFR;50;5;41;4;cab;6;0,9951492507551097;2,7027327189623094;1,8128225689876611;3,8153040858735543;1,9212550843518414;0,9948625146179244;3,5527232656265255;Not saved
82;GPR;50;5;41;4;cab;6;0,9996650709536772;1,184231230077799;0,4438075788811009;0,38376557574950015;0,22666998650663217;0,9994832417046765;0,6551668510596893;Not saved
83;MTN;50;5;41;4;cab;6;0,9446034053736383;9,978916861252067;6,035318321953598;47,369878334925396;6,665984576997815;0,9362142434734252;11,172064190616993;Not saved
