;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
85;RFR;50;5;41;4;cw;6;0,32773023658236333;0,003759476724321395;0,0023705434605644084;6,572954997162599e-06;0,0025212159699288927;-0,9609776087060358;68,10990632395934;Not saved
86;GPR;50;5;41;4;cw;6;0,9933864844260862;0,00036951203562698466;0,00019277487853507964;5,495908381566977e-08;0,0002298148953134749;0,9836034884151724;3,9215687586900367;Not saved
87;MTN;50;5;41;4;cw;6;0,6682445010981748;0,001967835289413215;0,0009281060304418213;1,4264618796657826e-06;0,0006309337986427719;0,5744288821534851;31,62729921688392;Not saved
88;ANN;50;5;41;4;cm;6;0,5217184904922278;0,0026031680462697653;0,0016146354637931973;3,1375400725713764e-06;0,0017638239286518623;0,4420147220621248;21,235989874713386;Not saved
89;RFR;50;5;41;4;cm;6;0,054647082056381246;0,00340760732478665;0,0021487710961769547;5,775521290931926e-06;0,0025261186823744104;-0,027128189032382233;35,549913153666026;Not saved
90;GPR;50;5;41;4;cm;6;0,9925323818427417;0,00048813569043243757;0,00018055739685983755;6,00813109822516e-08;7,691353812993565e-05;0,9893150410092361;2,7715625191138673;Not saved
91;MTN;50;5;41;4;cm;6;0,671372557394889;0,0021996790600756315;0,001408927774045983;2,5095738149863256e-06;0,0014056404760898807;0,5536932723497818;16,9768144869223;Not saved
92;ANN;50;5;41;4;lai;6;0,7232740555052862;2,7927011340110326;1,1087541201020525;2,163643927284207;0,4483539705068855;0,7186950445599911;25,756435183621555;Not saved
93;RFR;50;5;41;4;lai;6;0,17181445875043044;4,0993338621408535;2,4770498223727877;7,9560681249855545;3,0440954228261123;-0,03440374876561281;66,50876345601225;Not saved
94;GPR;50;5;41;4;lai;6;0,9548813104173344;1,2524378090088302;0,516059796680642;0,5598701305211833;0,12255540142547172;0,9272087980224457;13,425412282252616;Not saved
95;MTN;50;5;41;4;lai;6;0,7777543998334411;3,100343117043259;0,9470758114182096;2,0944857834038517;0,6256720666677742;0,7276866019679591;23,722386986470756;Not saved
96;ANN;50;5;41;4;cab;7;0,8442818700670597;17,561734782282656;12,000646713631047;154,7166237254624;10,856692162490994;0,8438743555408097;19,356341706992858;Not saved
97;RFR;50;5;41;4;cab;7;0,9933536392713175;8,914624987262982;5,4193929062362125;35,95619735752125;4,907846318000708;0,9637163457321427;11,297896910563939;Not saved
98;GPR;50;5;41;4;cab;7;0,9996254621992496;1,0899447220498928;0,5219050241253107;0,3826086072763336;0,3979117057652388;0,999613906935478;0,6982239523391308;Not saved
99;MTN;50;5;41;4;cab;7;0,516732687777727;42,475492106501406;18,355848495485237;608,6612795723977;15,03050616107582;0,38579557747318605;20,303499797218315;Not saved
100;ANN;50;5;41;4;cw;7;0,5393702765762627;0,00322506209182191;0,001433672280138376;3,3749685998499404e-06;0,0014758402708052775;-0,0068892693238646885;45,45489347444362;Not saved
