,Model,NoiseLevel,NoiseType,OutOfBag,KFold_tr_samples,KFold_vl_samples,Variable,Fold_nr,ExplVar,Max_err,Mean_abs_Err,Mean_sqr_err,Median_abs_err,r2,MAPE,ModelName
256,RFR,0.1,Combined,200,1620,180,cab,9,0.918856077350401,38.107622401950266,7.0889054999096155,96.16785756719908,5.311134587763529,0.9188554553298176,10.871604086596651,Not stored
257,GPR,0.1,Combined,200,1620,180,cab,9,0.8861885636218934,39.974583827662734,9.046145009183256,135.22524373384766,7.569487474742482,0.8858996019222944,20.113394288314215,Not stored
258,ANN,0.1,Combined,200,1620,180,cab,9,0.9182736565022813,42.12504376805518,7.42559149395048,107.98485672341452,4.918349252426392,0.9088845041185047,13.465969721329273,Not stored
259,MTN,0.1,Combined,200,1620,180,cab,9,0.9217659991851674,42.94070996678565,6.868877321511416,92.77527652541274,4.809752950654719,0.9217180484129596,10.993648182735068,Not stored
260,RFR,0.1,Inverted,200,1620,180,cab,9,0.3644498260360033,92.22777341955899,21.62979167961118,827.3792658863842,16.09379840882432,0.30187366654199443,33.8697874183425,Not stored
261,GPR,0.1,Inverted,200,1620,180,cab,9,0.7334947835539305,55.741329130155115,13.95062573124131,316.62399655260515,11.471604336351117,0.7328389060350902,27.749156169030893,Not stored
262,ANN,0.1,Inverted,200,1620,180,cab,9,0.6307910837008217,70.24297043503793,15.87960852955366,438.60800055207415,11.652452560845674,0.629911205325256,28.282758496317197,Not stored
263,MTN,0.1,Inverted,200,1620,180,cab,9,0.7566545087772822,49.538474976703796,13.447944464792648,293.702319979968,10.332109187634124,0.7521797653992923,25.330847407849966,Not stored
264,RFR,0.1,Combined,200,1620,180,cw,9,0.2289859471668927,0.0039275517609173895,0.0017639761734095493,4.211897545611453e-06,0.0017661004793748508,0.22406480904496717,36.37794844189048,Not stored
265,GPR,0.1,Combined,200,1620,180,cw,9,0.6479411650517886,0.0048881414460172565,0.0011063728610298232,1.915285721186176e-06,0.0009050648020982929,0.6471572312221815,22.443964142956695,Not stored
266,ANN,0.1,Combined,200,1620,180,cw,9,0.6713776837764139,0.004787126923977796,0.0010663962752510644,1.8399001049650207e-06,0.0008341996461249061,0.66104511711788,20.499030238024403,Not stored
267,MTN,0.1,Combined,200,1620,180,cw,9,0.6751772689528852,0.005387140340238277,0.0010249979318207403,1.7742600236664295e-06,0.0008214859668311241,0.6731376356241279,21.407471789662356,Not stored
268,RFR,0.1,Inverted,200,1620,180,cw,9,0.1154113595326054,0.004339688969140922,0.0018747251272791905,4.841854272946454e-06,0.0018886632258590672,0.10801127540016198,38.59609954615675,Not stored
269,GPR,0.1,Inverted,200,1620,180,cw,9,0.5235702152672507,0.0040351916084413195,0.0013036337938717225,2.6104450766802713e-06,0.001109880348814333,0.5190917687060028,25.81952833151351,Not stored
270,ANN,0.1,Inverted,200,1620,180,cw,9,0.4682835599188324,0.005227241829415096,0.00135170103093684,2.923956656756859e-06,0.0011071770135230087,0.4613352195214653,25.33305979169199,Not stored
271,MTN,0.1,Inverted,200,1620,180,cw,9,0.5386168210077424,0.0038623733057603672,0.0012773146643513188,2.5228787487226623e-06,0.001040445967005563,0.5352236414947448,25.39438100152233,Not stored
272,RFR,0.1,Combined,200,1620,180,cm,9,0.42170321449357473,0.004830651810382981,0.0014989641014478902,3.3383374135210273e-06,0.0013717942039850719,0.41622328868063585,35.23648227166982,Not stored
273,GPR,0.1,Combined,200,1620,180,cm,9,0.5531462106321585,0.0044923344375399285,0.0012551732931210641,2.5729096778639908e-06,0.0009830711515549022,0.5500740146332292,28.924230134882635,Not stored
274,ANN,0.1,Combined,200,1620,180,cm,9,0.5851098074264351,0.005452856459491871,0.0011704428721503765,2.397308289273322e-06,0.0009078255817505654,0.5807815161336399,26.78131374248017,Not stored
275,MTN,0.1,Combined,200,1620,180,cm,9,0.6066301997306729,0.005143380761914871,0.0011281607349426554,2.256070188885291e-06,0.0008741302087377275,0.6054798924641964,25.463804447131643,Not stored
276,RFR,0.1,Inverted,200,1620,180,cm,9,0.2884439604582457,0.0044235276148236954,0.0016912062958687973,4.078651436498311e-06,0.0016315856968303192,0.2867642100605816,39.36962799853944,Not stored
277,GPR,0.1,Inverted,200,1620,180,cm,9,0.4842583362345254,0.005277243189239807,0.0013372784438783502,2.9738994437327002e-06,0.0010547397367305766,0.47995273634558655,30.79068392029029,Not stored
278,ANN,0.1,Inverted,200,1620,180,cm,9,0.3095654602241361,0.006804669572942158,0.001516175562958481,3.952615615859387e-06,0.001196710126984603,0.30880415622750457,32.63901311595555,Not stored
279,MTN,0.1,Inverted,200,1620,180,cm,9,0.5258897850763647,0.005734495073954418,0.0012698009462341253,2.741139687441527e-06,0.001047041844139038,0.5206555498193877,27.123868755521478,Not stored
280,RFR,0.1,Combined,200,1620,180,lai,9,0.6143408086099142,4.822080230265566,1.393141851543586,3.1256884457158485,1.0682613330067863,0.6116997581964466,31.98251156047259,Not stored
281,GPR,0.1,Combined,200,1620,180,lai,9,0.6877328434039656,4.767647093353521,1.2366204051511505,2.557123873689682,0.9328956770065118,0.6823318012272523,27.873925787829407,Not stored
282,ANN,0.1,Combined,200,1620,180,lai,9,0.7094181505031816,5.443187344234021,1.1626921299885933,2.4257531659229064,0.8405342458446525,0.6986518147147325,26.031795754979825,Not stored
283,MTN,0.1,Combined,200,1620,180,lai,9,0.7069261289797641,5.6355835081744505,1.133567110805278,2.3620059227139456,0.781355017509314,0.7065710524705864,22.33235147565195,Not stored
284,RFR,0.1,Inverted,200,1620,180,lai,9,0.5862512544975731,4.382621565635899,1.5045637034187567,3.336672519360267,1.2877564469969918,0.5854894790097558,39.02405516842258,Not stored
285,GPR,0.1,Inverted,200,1620,180,lai,9,0.6683540476818319,4.202256960421019,1.2915798451009337,2.70348652925483,0.9601505295104452,0.6641493574124016,29.33209912410088,Not stored
286,ANN,0.1,Inverted,200,1620,180,lai,9,0.6035852983546413,4.823462831228939,1.396842393677712,3.276995209621253,1.0821568221632727,0.5929031141830263,32.16308615665362,Not stored
287,MTN,0.1,Inverted,200,1620,180,lai,9,0.7066997433471186,4.115414826849015,1.170437673414665,2.361269918378799,0.936515994495932,0.7066624853393029,23.47076890162282,Not stored
288,RFR,0.1,Combined,200,1620,180,cab,10,0.9201414791388196,39.48802236124645,7.103960029738853,94.67820203838782,5.2189239428232455,0.9201123973337126,11.035111937519158,Not stored
289,GPR,0.1,Combined,200,1620,180,cab,10,0.8876759545370408,39.507068093296105,9.022326614050982,133.72964713982486,7.40784947183287,0.8871615568800355,20.0124771791317,Not stored
290,ANN,0.1,Combined,200,1620,180,cab,10,0.920385035110217,39.75269879735205,7.1437491363905465,95.13757685958393,5.215244288954448,0.9197247859046772,11.556636628044124,Not stored
291,MTN,0.1,Combined,200,1620,180,cab,10,0.9228386093622486,44.686849493152835,6.825793222870484,94.99928952640818,4.504360193660673,0.9198414700335334,11.435229096870925,Not stored
292,RFR,0.1,Inverted,200,1620,180,cab,10,0.36608510644060266,91.03437988466465,21.602395875034517,826.3753229926072,16.03590281776009,0.302720773788129,33.747653230310284,Not stored
293,GPR,0.1,Inverted,200,1620,180,cab,10,0.7288712297429134,61.409379279680046,13.953531478320155,322.2531539279408,11.174133609671259,0.728089133879885,28.187001908599328,Not stored
294,ANN,0.1,Inverted,200,1620,180,cab,10,0.6180442676986184,72.39040085495981,16.503092758114853,474.37114139996424,11.24873076821843,0.5997349712540143,29.61433306022416,Not stored
295,MTN,0.1,Inverted,200,1620,180,cab,10,0.7396393844685606,68.1011171025184,13.500395692586189,309.5385570480655,11.119618072669336,0.7388174603767239,25.347761946528934,Not stored
296,RFR,0.1,Combined,200,1620,180,cw,10,0.22755549000372988,0.004309523571597875,0.001745415582698496,4.220751941573108e-06,0.0017638681429317385,0.22243361138479212,36.09029266996786,Not stored
297,GPR,0.1,Combined,200,1620,180,cw,10,0.6447876411675338,0.0049393239203602245,0.0011142464862528997,1.9349220849587913e-06,0.0009186988099092329,0.6435397297258684,22.546940950876166,Not stored
298,ANN,0.1,Combined,200,1620,180,cw,10,0.662105025988812,0.005140327750771705,0.001070211096403313,1.892774775790155e-06,0.0009160626843723691,0.6513043014026134,20.643699552123874,Not stored
299,MTN,0.1,Combined,200,1620,180,cw,10,0.6761362839693519,0.005128669454782669,0.0010309227629422845,1.7661399159701324e-06,0.0007783993626158843,0.6746335593135506,21.366353832737868,Not stored
300,RFR,0.1,Inverted,200,1620,180,cw,10,0.1203576368359508,0.004410229353872555,0.0018696622343400773,4.798430885536341e-06,0.0018943552143161234,0.11601093209577329,38.83072858269053,Not stored
