,Model,NoiseLevel,NoiseType,OutOfBag,KFold_tr_samples,KFold_vl_samples,Variable,Fold_nr,ExplVar,Max_err,Mean_abs_Err,Mean_sqr_err,Median_abs_err,r2,MAPE,ModelName
505,GPR,0.3,Combined,200,1620,180,lai,6,0.1926071083971862,5.806569310406159,1.937635024356537,5.66381534857165,1.7725714785557805,0.1925899845496586,55.95543199209391,Not stored
506,ANN,0.3,Combined,200,1620,180,lai,6,0.17537960240618977,5.901668070447235,1.9600447052817718,5.825456045987565,1.9025700649295625,0.16954715741531345,56.88782715929871,Not stored
507,MTN,0.3,Combined,200,1620,180,lai,6,0.15183867511454374,6.468543240544436,1.9896304807684064,5.958910988436527,1.7738606384861706,0.1505223745590335,56.88489137333609,Not stored
508,RFR,0.3,Inverted,200,1620,180,lai,6,0.12965202870431658,6.260233935356471,2.0719612423276486,6.133320510904744,1.8980182479615828,0.1256592767064062,66.13029201291035,Not stored
509,GPR,0.3,Inverted,200,1620,180,lai,6,0.12095182753865963,6.282282460213741,2.0345074419390548,6.171575679555364,1.816209527041471,0.12020577859421189,62.82210466834469,Not stored
510,ANN,0.3,Inverted,200,1620,180,lai,6,0.11781198083131561,7.675668279587914,2.0541991995929783,6.206440341591253,1.7872599463528256,0.11523561703692042,60.269945683373734,Not stored
511,MTN,0.3,Inverted,200,1620,180,lai,6,0.040548376204766035,7.330323259293724,2.1008050181698974,6.792978153307924,2.0354070305173453,0.03162122029642678,61.81655132300455,Not stored
512,RFR,0.3,Combined,200,1620,180,cab,7,0.26351287335303686,71.31337365224131,25.413328646919936,922.2120880672508,22.02036276827647,0.26151708168219745,55.166619530443754,Not stored
513,GPR,0.3,Combined,200,1620,180,cab,7,0.26970824879411515,60.196720972831145,25.67350195351555,912.8591565618647,23.4360308061445,0.26900666053536504,57.70843769041155,Not stored
514,ANN,0.3,Combined,200,1620,180,cab,7,0.290807821914707,63.512061969845774,24.921606234877437,886.8142314551189,22.679121533492392,0.2898627440210064,53.80709751460393,Not stored
515,MTN,0.3,Combined,200,1620,180,cab,7,0.27498821360678605,67.06697668661525,25.434280056247058,905.4290871840394,23.567561978905797,0.274956462526076,57.250435875534464,Not stored
516,RFR,0.3,Inverted,200,1620,180,cab,7,0.0036419158540736962,69.1243306050434,30.818393738231347,1245.5070683121542,29.46055532438134,0.0026310579811696932,71.4759195079779,Not stored
517,GPR,0.3,Inverted,200,1620,180,cab,7,0.05277048469151757,72.08637866520189,30.07574836432751,1183.2250076091896,30.13646193918865,0.052504876099478515,71.85642631628446,Not stored
518,ANN,0.3,Inverted,200,1620,180,cab,7,0.023085735675204,80.31257656542805,29.973316345671847,1225.355048384783,29.117455270162232,0.018768259692711675,68.80549365786585,Not stored
519,MTN,0.3,Inverted,200,1620,180,cab,7,0.05239654339638533,68.44147022763293,30.207191248631105,1206.2521740779655,31.555077069758177,0.0340653334883092,67.85251688651816,Not stored
520,RFR,0.3,Combined,200,1620,180,cw,7,0.06671809003565443,0.004393161623769259,0.001906622610060412,4.835988040831024e-06,0.0019565312900921557,0.05416896069175803,43.843112863954715,Not stored
521,GPR,0.3,Combined,200,1620,180,cw,7,0.08425042788962844,0.004754662485148948,0.001857408812813752,4.7616957162016826e-06,0.0018500625849517047,0.06869918409667786,42.55850713856421,Not stored
522,ANN,0.3,Combined,200,1620,180,cw,7,0.03745959608747451,0.005151171474608186,0.0019261514971163133,5.129676682754494e-06,0.0019035331800030658,-0.0032711799947287012,45.00979300944482,Not stored
523,MTN,0.3,Combined,200,1620,180,cw,7,0.0904419133942802,0.004829667594499683,0.0018568171073717965,4.876538291546996e-06,0.0018303752556191226,0.04623807139776659,43.94856571316139,Not stored
524,RFR,0.3,Inverted,200,1620,180,cw,7,-0.03728838459443207,0.004546253612963153,0.002034227170999801,5.376618933196843e-06,0.002064609328968067,-0.051568579287897265,46.72592890436604,Not stored
525,GPR,0.3,Inverted,200,1620,180,cw,7,-0.11164012592744621,0.0049639585489435045,0.0020794930710413867,5.764670949918708e-06,0.0020388185406860957,-0.12746447464222666,47.89043146086872,Not stored
526,ANN,0.3,Inverted,200,1620,180,cw,7,-0.16417601426888995,0.006387009013723311,0.002123576352463599,6.143034487486671e-06,0.00200512407431587,-0.2014654802180702,49.658109163520564,Not stored
527,MTN,0.3,Inverted,200,1620,180,cw,7,-0.07321760520432896,0.004860469799767908,0.0020783164600216056,5.657284888312195e-06,0.0021091280754907205,-0.10646172000368259,48.53682236250887,Not stored
528,RFR,0.3,Combined,200,1620,180,cm,7,0.0779973195549275,0.004962257077560439,0.0018411055040524768,4.7462851456147905e-06,0.0017606104447488013,0.06977206975600059,37.50143292774425,Not stored
529,GPR,0.3,Combined,200,1620,180,cm,7,0.15470349464112687,0.005182446118265963,0.0017234787085570746,4.359577592274773e-06,0.00171597124398015,0.14556316867165786,35.183709231144256,Not stored
530,ANN,0.3,Combined,200,1620,180,cm,7,0.07241542146240054,0.005936498352996283,0.0018028542700223422,4.83243317068092e-06,0.0016551405560743756,0.052887854713439486,36.31288079539755,Not stored
531,MTN,0.3,Combined,200,1620,180,cm,7,0.09368367107695119,0.0052051116430379685,0.0018048154801343246,4.685311773677185e-06,0.00179231334889583,0.08172228594347941,36.58933329025723,Not stored
532,RFR,0.3,Inverted,200,1620,180,cm,7,0.008321356791373358,0.00460595048911548,0.0019287574433220352,5.1158298674791244e-06,0.0018807239217058158,-0.002655273146071613,39.127838156018484,Not stored
533,GPR,0.3,Inverted,200,1620,180,cm,7,-0.0034316301267549587,0.00501439299951498,0.0019427995893483469,5.161369941073094e-06,0.0017925976309603481,-0.011580705795565471,39.41615341116182,Not stored
534,ANN,0.3,Inverted,200,1620,180,cm,7,-0.08940274313448193,0.005325183520700736,0.001981614330902776,5.595311113173293e-06,0.001805687463978968,-0.09662915652831972,40.73606359758201,Not stored
535,MTN,0.3,Inverted,200,1620,180,cm,7,-0.060121315603668624,0.005795565896711756,0.0019793335305006137,5.47867608171965e-06,0.001867878930759092,-0.07376977059291945,39.73909634279006,Not stored
536,RFR,0.3,Combined,200,1620,180,lai,7,0.1558009960035125,5.673647994922071,2.225844432604607,6.668460879280378,2.094086891278481,0.14103872517096194,73.14821580747702,Not stored
537,GPR,0.3,Combined,200,1620,180,lai,7,0.24738226583361633,6.873075230654249,2.0208888014023945,5.957121031597287,1.9188053396206914,0.23266607268994421,61.121781550230466,Not stored
538,ANN,0.3,Combined,200,1620,180,lai,7,0.25283009879518614,6.228865490077103,2.002988142167165,5.803559177070795,1.9426044666614661,0.25244630214874275,63.81990722945526,Not stored
539,MTN,0.3,Combined,200,1620,180,lai,7,0.2123191481259996,7.031854734538163,2.0258708836268657,6.1577621410083365,1.9686700486807287,0.20682158679690776,62.63335330148659,Not stored
540,RFR,0.3,Inverted,200,1620,180,lai,7,0.22812617703665672,5.343011447455561,2.110523043101273,6.044812528032439,1.9612608092997763,0.22137057273377847,71.34792774147645,Not stored
541,GPR,0.3,Inverted,200,1620,180,lai,7,0.296946763184766,5.616829636575947,1.935981388617741,5.533514590435428,1.6380727225772926,0.2872306169398384,59.647902756671414,Not stored
542,ANN,0.3,Inverted,200,1620,180,lai,7,0.24780389058921082,6.278929407231367,1.989895446019909,5.8855153576103145,1.699352793177828,0.24188956550579765,63.701052707513696,Not stored
543,MTN,0.3,Inverted,200,1620,180,lai,7,0.2410363081282766,5.672529057783149,2.0731820754146284,6.330992158021244,1.8437159996702213,0.18450791068097006,58.67109431939296,Not stored
544,RFR,0.3,Combined,200,1620,180,cab,8,0.1786277469892893,75.44529078788634,27.056862848933957,1043.2143948411604,25.860097426388343,0.17848455828662835,56.708858114966056,Not stored
545,GPR,0.3,Combined,200,1620,180,cab,8,0.15131079105378376,75.76913092298506,27.86083055617655,1077.7293508608102,28.081660689840618,0.15130455628472217,61.61203491438215,Not stored
546,ANN,0.3,Combined,200,1620,180,cab,8,0.13133749396175498,76.45428907381479,28.53323010395539,1103.220911006828,27.793258546521244,0.13123034105448916,63.352248503294916,Not stored
547,MTN,0.3,Combined,200,1620,180,cab,8,0.17027621001579396,73.60834698760529,27.81902692455426,1054.713955182369,28.051566956247072,0.16942882972312834,61.55344233669625,Not stored
548,RFR,0.3,Inverted,200,1620,180,cab,8,-0.009232016038027924,71.3052620637493,30.54730998302051,1291.9657587944914,30.350776779660542,-0.01740335089625744,69.17093960780022,Not stored
