"";"Model";"NSamples";"Variable";"MAPE";"sd";"ErrorType";"ErrorTypeNames";"Model_ErrorType";"PT_type"
"73";"ANN";50;"cm";20,3675424005178;3,16042430298473;"Out-of-bag";"Validation error";"ANN Validation error";17
"74";"GPR";50;"cm";3,45210627284151;1,21709725203297;"Out-of-bag";"Validation error";"GPR Validation error";17
"75";"MTN";50;"cm";23,4133266322011;8,4784276008756;"Out-of-bag";"Validation error";"MTN Validation error";17
"76";"RFR";50;"cm";37,6626774470669;1,79915991900119;"Out-of-bag";"Validation error";"RFR Validation error";17
"77";"ANN";100;"cm";34,0817265941967;5,81717085841943;"Out-of-bag";"Validation error";"ANN Validation error";17
"78";"GPR";100;"cm";8,0928640278356;1,90926805465701;"Out-of-bag";"Validation error";"GPR Validation error";17
"79";"MTN";100;"cm";40,8828970269622;9,76990407386197;"Out-of-bag";"Validation error";"MTN Validation error";17
"80";"RFR";100;"cm";40,5067586608355;2,35400074717085;"Out-of-bag";"Validation error";"RFR Validation error";17
"81";"ANN";350;"cm";8,38438933401083;2,47263999755854;"Out-of-bag";"Validation error";"ANN Validation error";17
"82";"GPR";350;"cm";0,353757327548832;0,0526162819293586;"Out-of-bag";"Validation error";"GPR Validation error";17
"83";"MTN";350;"cm";7,73687311883202;2,87576003806458;"Out-of-bag";"Validation error";"MTN Validation error";17
"84";"RFR";350;"cm";25,9829909753828;0,959264285027153;"Out-of-bag";"Validation error";"RFR Validation error";17
"85";"ANN";600;"cm";5,8315467223654;1,28555157596097;"Out-of-bag";"Validation error";"ANN Validation error";17
"86";"GPR";600;"cm";0,202994606427561;0,0437140809223657;"Out-of-bag";"Validation error";"GPR Validation error";17
"87";"MTN";600;"cm";7,24257282042153;3,04873590565519;"Out-of-bag";"Validation error";"MTN Validation error";17
"88";"RFR";600;"cm";30,2791125793475;0,78132762161492;"Out-of-bag";"Validation error";"RFR Validation error";17
"89";"ANN";850;"cm";5,13022303024069;1,2330671075837;"Out-of-bag";"Validation error";"ANN Validation error";17
"90";"GPR";850;"cm";0,125004794702053;0,00816553688931008;"Out-of-bag";"Validation error";"GPR Validation error";17
"91";"MTN";850;"cm";3,87531390497615;0,832784429359214;"Out-of-bag";"Validation error";"MTN Validation error";17
"92";"RFR";850;"cm";29,7234706533322;0,690744980285267;"Out-of-bag";"Validation error";"RFR Validation error";17
"93";"ANN";1100;"cm";4,67175010824041;1,45062010246284;"Out-of-bag";"Validation error";"ANN Validation error";17
"94";"GPR";1100;"cm";0,0903582967088016;0,00331415231142862;"Out-of-bag";"Validation error";"GPR Validation error";17
"95";"MTN";1100;"cm";4,86065234990826;1,86847447321705;"Out-of-bag";"Validation error";"MTN Validation error";17
"96";"RFR";1100;"cm";31,8032780963285;0,496156224172986;"Out-of-bag";"Validation error";"RFR Validation error";17
"97";"ANN";1350;"cm";3,89804642993703;0,901004212456202;"Out-of-bag";"Validation error";"ANN Validation error";17
"98";"GPR";1350;"cm";0,119664281016164;0,0417171545556744;"Out-of-bag";"Validation error";"GPR Validation error";17
"99";"MTN";1350;"cm";3,63510361718821;0,689242269696622;"Out-of-bag";"Validation error";"MTN Validation error";17
"100";"RFR";1350;"cm";36,8931170773677;0,462508974466351;"Out-of-bag";"Validation error";"RFR Validation error";17
"101";"ANN";1600;"cm";3,95357088243294;0,774004548582206;"Out-of-bag";"Validation error";"ANN Validation error";17
"102";"GPR";1600;"cm";0,0991453920275005;0,00354899747396217;"Out-of-bag";"Validation error";"GPR Validation error";17
"103";"MTN";1600;"cm";3,60117473633252;0,655524850111721;"Out-of-bag";"Validation error";"MTN Validation error";17
"104";"RFR";1600;"cm";39,7612774365385;0,55172066859754;"Out-of-bag";"Validation error";"RFR Validation error";17
"105";"ANN";1850;"cm";3,16405015894217;0,611882802077351;"Out-of-bag";"Validation error";"ANN Validation error";17
"106";"GPR";1850;"cm";0,0834457664569735;0,00231955984165456;"Out-of-bag";"Validation error";"GPR Validation error";17
"107";"MTN";1850;"cm";2,8098437619525;0,569581758523083;"Out-of-bag";"Validation error";"MTN Validation error";17
"108";"RFR";1850;"cm";39,4020472891044;0,3728173905711;"Out-of-bag";"Validation error";"RFR Validation error";17
