"";"B2";"B3";"B4";"B5";"B6";"B7";"B8A";"B11";"B12";"cab";"cw";"cm";"lai";"car"
"1780";0,0222644038507368;0,0242967543729202;0,0191788505672992;0,0312312640983829;0,313188600552332;0,648091694286316;0,655753511026072;0,408151885360484;0,196368247199784;112,180929582667;0,00360087475920702;0,00330459210946475;8,1902642962894;37,4446074058416
"642";0,0326744948573172;0,0368058463388627;0,0378347032535687;0,0480095860772754;0,170027260062364;0,234118004415674;0,242530236341346;0,188717024475817;0,100445424402839;123,235681706231;0,00962964945570467;0,00971723194268058;0,630907576648248;36,5871953112676
"457";0,025214289560379;0,0301727534781868;0,0242256254468539;0,0410555856711849;0,225950923031571;0,314586226409253;0,32105704163247;0,210929275775194;0,0896150492339248;93,4619600744078;0,0090100955060025;0,00824287672565859;1,1803954795768;13,4712070475763
"1923";0,022904321224298;0,0588479823682688;0,0220685440524534;0,0989995682110516;0,335448249434717;0,393293527663202;0,399109361605547;0,309279362351123;0,165966538667542;32,5217501262933;0,00350327884250597;0,00422882372459635;1,65537005096228;18,4103309274034
"881";0,0212746923055373;0,024679730868967;0,0183329541949779;0,0339215007276486;0,322104137140077;0,589371312609288;0,594751027209482;0,318173019188654;0,132932679747648;98,0331859511151;0,00706308255688566;0,00340519292569899;5,01903320626878;38,3095055687628
"1461";0,0227617199420157;0,0235549639345941;0,0196384685352653;0,0283503267639623;0,284235047978634;0,59891025303754;0,605001819517874;0,318916918020006;0,124710602438622;128,995511366384;0,00602783070494329;0,00556683815065974;10,1315943791477;45,8016772472944
"1620";0,0219189484432565;0,0705797291426465;0,024011977404216;0,143177077080595;0,516657515997077;0,646072922048965;0,649961987586225;0,349039999810698;0,153444312026226;23,5791422152229;0,00615171061127657;0,00301989686409747;7,20138714916192;61,9861042891775
"1576";0,0225756011631965;0,0973489627240571;0,0354699949826474;0,203862168349118;0,551759733048214;0,64468014894294;0,647381056389761;0,298771619133508;0,115825400182102;14,9458580713762;0,00859318935696548;0,00385585706697989;9,49301948934287;64,6050888867191
"764";0,0225333694674306;0,0395152320009063;0,0198001525136384;0,0697066146393129;0,409904093186497;0,601806909313095;0,6062163366427;0,368206676317595;0,157932749815965;50,6683742343864;0,00358725398199119;0,00539491269652155;9,28774007226368;53,2983916402157
"1776";0,0207335342002058;0,0576931985904653;0,0203064017296598;0,108001490316905;0,409583380810706;0,494103156670428;0,499320226095827;0,370562253144097;0,209328256672248;30,7118178267742;0,0036657936878225;0,00212356859742954;2,53491232939837;39,1786499540219
"20";0,035193936341334;0,0402755940120631;0,041867478135158;0,0533249663263912;0,17323530243143;0,233995757244585;0,24320200359148;0,205182602349585;0,126966790041156;115,271469937865;0,00923240655548225;0,0039848979878405;0,540711769654776;33,6870280706395
"94";0,0313483042099178;0,037337575804747;0,0355136745306671;0,0509325917827612;0,190753622431019;0,252713074623226;0,260984506404936;0,200523542455291;0,107928944225462;96,6755916983464;0,00958637401326611;0,00679859666660818;0,692040038987275;28,40414444662
"694";0,0222442772053477;0,0360325669990336;0,0192978844177878;0,0596460091536699;0,412271911204038;0,661248929352315;0,666128538908012;0,318943446622169;0,132291167379264;58,9134777706503;0,00802433912055226;0,00278511003063694;7,9322915833923;36,1282030320063
"1630";0,0220742703390344;0,0245909724066746;0,0190598143136059;0,0330959850077519;0,317532761808135;0,616970173114768;0,622603408319115;0,312197887837223;0,124277102013915;104,142700477889;0,00724216997858214;0,00420880585815568;7,70368353834975;51,612517738512
"299";0,0218465441986307;0,0227703853654702;0,0187966503780881;0,0272076974054415;0,260130223394387;0,498160938707806;0,501763535009006;0,235561565592962;0,0720101677493523;127,723258171799;0,00857337547543655;0,00974285666759573;6,7319133848087;32,9156144729508
"227";0,0349960383376917;0,0413955881627741;0,0417279100016011;0,0572546452647534;0,176473831442064;0,225751541145299;0,234792660518339;0,224634036134931;0,144035996435501;93,1860814429257;0,00233077097853245;0,00748405588302713;0,544199494356684;59,2751172723795
"1975";0,0260932920524437;0,103923273583046;0,0537765671926626;0,183337961108238;0,298041473296663;0,314350803586836;0,321564990906066;0,280695802409219;0,173863484115583;10,5792736141818;0,00272855774697707;0,00407303608180078;1,01216240051283;36,5572285375995
"792";0,0239952254321799;0,0463726362901137;0,0249373333256171;0,0814680157587656;0,271213106504621;0,318475454142312;0,324603476652314;0,221713040202371;0,0965081441033598;39,8333897171499;0,00752169025215183;0,00821498991890607;1,20914811591604;57,4232399678038
"1747";0,0218178042673176;0,0705655679146962;0,0241061825015813;0,138075047544495;0,443348002444069;0,526724816541444;0,529298539434289;0,306820557539708;0,112536333791115;22,983424813376;0,00421652930180889;0,00821273793220342;6,82038111469071;54,1583051101768
"164";0,0209528818479642;0,0223517965925918;0,0181072745442105;0,0288769740732884;0,281541585279211;0,518452951549121;0,522916265590501;0,26502005738892;0,0941537039888813;114,832261437364;0,00831228778047467;0,0060835054090772;4,25263901761672;64,9986771068434
"17";0,0222376115016418;0,113366556020573;0,0419904312089495;0,227664454724189;0,559916796706667;0,637027621795462;0,640405351508603;0,349350005930799;0,15104003320839;12,4464260902794;0,0056948275372955;0,00367753715777191;7,91440547177525;40,811893321154
"862";0,0222995269705345;0,0243175077767962;0,0207786878312156;0,0306904867232409;0,226048661971909;0,357152395311338;0,363205187088696;0,233067373977892;0,095612543648911;121,719942214604;0,00775453254589147;0,00733018265898307;1,53039394974606;28,1372077758256
"1468";0,0208186116462355;0,0542091980957742;0,0196095065789069;0,0981933438092968;0,397952353528014;0,487387490651014;0,491688114211842;0,277269751665263;0,11535758206298;33,7705700103354;0,0085988933898387;0,00334212464651513;2,66797127035518;32,4521784843391
