"";"Model";"NoiseLevel";"NoiseType";"Variable";"MAPE";"sd";"ErrorType";"Model_ErrorType";"Variable_upper"
"235";"MTN";40;"Inverted";"cw";43,9756467658195;3,43082262896364;"Validation error";"MTN Validation error";"Cw"
"236";"RFR";40;"Inverted";"cw";43,2609853223763;2,80911054144555;"Validation error";"RFR Validation error";"Cw"
"237";"ANN";50;"Inverted";"cw";44,3702804202654;3,42375231477034;"Validation error";"ANN Validation error";"Cw"
"238";"GPR";50;"Inverted";"cw";44,1520978026875;3,07329357315297;"Validation error";"GPR Validation error";"Cw"
"239";"MTN";50;"Inverted";"cw";44,1783531373301;3,9036690895584;"Validation error";"MTN Validation error";"Cw"
"240";"RFR";50;"Inverted";"cw";43,2487968045142;2,96112735883485;"Validation error";"RFR Validation error";"Cw"
"241";"ANN";1;"Combined";"lai";6,52060605295172;2,4085206038141;"Validation error";"ANN Validation error";"LAI"
"242";"GPR";1;"Combined";"lai";20,495714135348;1,71065300196744;"Validation error";"GPR Validation error";"LAI"
"243";"MTN";1;"Combined";"lai";3,50216064488197;0,761073555732251;"Validation error";"MTN Validation error";"LAI"
"244";"RFR";1;"Combined";"lai";13,9424836200425;2,12516144705643;"Validation error";"RFR Validation error";"LAI"
"245";"ANN";3;"Combined";"lai";9,33280299664697;0,672785325719577;"Validation error";"ANN Validation error";"LAI"
