;Model;NoiseLevel;NoiseType;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
48;RFR;0,5;Combined;200;1620;180;cm;2;-0,006191856813834606;0,004144918442138696;0,001922978841903078;5,127321704959317e-06;0,002013963947344683;-0,015642338568001346;44,65723880840903;Not stored
49;GPR;0,5;Combined;200;1620;180;cm;2;-0,03891387395350199;0,004705269539090292;0,0019445910708459585;5,2932741022838146e-06;0,0019034137101746002;-0,048514916223230786;44,84552577081716;Not stored
50;ANN;0,5;Combined;200;1620;180;cm;2;-0,07505551231432794;0,005837588009953886;0,0019650597782437922;5,552867339678718e-06;0,0018714382207188967;-0,09993628158229995;45,847277897800296;Not stored
51;MTN;0,5;Combined;200;1620;180;cm;2;-0,22791944488622784;0,006964736155099375;0,0021138671997114637;6,219203204644496e-06;0,0019925164435344858;-0,23192700795138887;47,15276298841827;Not stored
52;RFR;0,5;Inverted;200;1620;180;cm;2;-0,04412920524089525;0,005050492561792914;0,001937893311828805;5,293625695851735e-06;0,001763511181925777;-0,04858456141697842;44,98699437592792;Not stored
53;GPR;0,5;Inverted;200;1620;180;cm;2;-0,0870032116067827;0,004874378259316596;0,0020312620666044804;5,5420585046668674e-06;0,0019376042697954558;-0,09779522020555564;46,87052478868752;Not stored
54;ANN;0,5;Inverted;200;1620;180;cm;2;-0,4115638658112484;0,012433154133787871;0,0020709591793736434;7,150391904604744e-06;0,0016897492504269907;-0,4163809438066244;43,98695488364969;Not stored
55;MTN;0,5;Inverted;200;1620;180;cm;2;-0,26301067643620013;0,00666011371485406;0,002141112370739765;6,402492989951511e-06;0,002089184480631493;-0,26823385134777356;48,880434424322544;Not stored
56;RFR;0,5;Combined;200;1620;180;lai;2;0,00844389004252133;5,650666224556687;2,4782834002158616;7,931523323455597;2,4558281845046697;0,007726659516077872;88,74708356764259;Not stored
57;GPR;0,5;Combined;200;1620;180;lai;2;0,03873109094670024;5,434071999765779;2,423590305922583;7,683912850821564;2,478624254933414;0,03870397128830494;84,45707626933347;Not stored
58;ANN;0,5;Combined;200;1620;180;lai;2;-0,037208477740093615;6,003670834129273;2,505782584327831;8,296637010681573;2,479510134259563;-0,03795089362289206;85,82976392950697;Not stored
59;MTN;0,5;Combined;200;1620;180;lai;2;-0,11244297574658613;6,065829960604969;2,5729670544341796;9,06903835518639;2,549756780255614;-0,13458217503632763;93,83142719205125;Not stored
60;RFR;0,5;Inverted;200;1620;180;lai;2;-0,04169344479553727;6,792160842196431;2,5023996437188876;8,343624586252362;2,559381886682436;-0,043829274946563634;90,56368856303462;Not stored
61;GPR;0,5;Inverted;200;1620;180;lai;2;-0,041339479206470964;6,188486591372912;2,4703843991214907;8,332521346654557;2,463273897910538;-0,04244020399554893;87,96813260013775;Not stored
62;ANN;0,5;Inverted;200;1620;180;lai;2;-0,6156515677009422;10,195374321797594;3,0213436650531658;13,347875029008527;2,7767329837775456;-0,6698860992097251;97,8295450005584;Not stored
63;MTN;0,5;Inverted;200;1620;180;lai;2;-0,12345241097254722;6,2720175020111535;2,4972468571826734;9,017515632944075;2,2565368612076586;-0,12813642412250026;93,52078389919448;Not stored
64;RFR;0,5;Combined;200;1620;180;cab;3;0,07466457713881791;73,88693161924925;30,27206251914885;1242,1763915923011;29,648394563879513;0,05791089305742769;65,5277335922363;Not stored
65;GPR;0,5;Combined;200;1620;180;cab;3;0,08904128034332504;74,60360403576016;30,730968146640734;1218,8368487315483;30,713916479022878;0,07561202571375614;68,89232505905831;Not stored
66;ANN;0,5;Combined;200;1620;180;cab;3;0,11511457654821333;80,75749478187237;29,53960625782901;1168,651207193482;29,378998466576768;0,11367372656232178;67,17098450741068;Not stored
67;MTN;0,5;Combined;200;1620;180;cab;3;0,10384829482028024;80,67873088029654;30,015925781875254;1199,274985316033;29,48760395450102;0,090448097756336;66,37663213287614;Not stored
68;RFR;0,5;Inverted;200;1620;180;cab;3;-0,26724252207108345;111,18021130482535;38,880629218060704;2274,5447500506743;35,80006675928414;-0,7250559958955163;64,4651579823142;Not stored
69;GPR;0,5;Inverted;200;1620;180;cab;3;-0,059701513274930784;76,77911192272558;32,063755138899424;1411,2101148854551;29,76007917949482;-0,07028734875289588;78,50297696852039;Not stored
70;ANN;0,5;Inverted;200;1620;180;cab;3;-0,8796451487775223;168,8853616880359;43,943360673649714;3203,001831519789;36,332212895800446;-1,4292146875564584;79,5315863790177;Not stored
71;MTN;0,5;Inverted;200;1620;180;cab;3;-0,0355086913857825;70,3230659582742;32,04338857658169;1383,8127965147983;30,744537952629738;-0,049508725546776544;78,28410811838776;Not stored
72;RFR;0,5;Combined;200;1620;180;cw;3;-0,0032278065749280493;0,004180176052237213;0,0018348588436529457;4,712898407910169e-06;0,0019113909832894852;-0,014644828202734939;40,61625484387092;Not stored
73;GPR;0,5;Combined;200;1620;180;cw;3;-0,005899513563722758;0,004486711308028593;0,0018309081791759018;4,714854804389754e-06;0,001876630551085896;-0,015066022847328497;40,29620225177227;Not stored
74;ANN;0,5;Combined;200;1620;180;cw;3;-0,056137957195685706;0,005041101635631319;0,0018447674827435602;4,90563192832311e-06;0,001731137366987405;-0,05613862942282344;39,327739196843524;Not stored
75;MTN;0,5;Combined;200;1620;180;cw;3;-0,01829642377210816;0,0048394637487933975;0,0018336735866289397;4,742981495544294e-06;0,001774597060426424;-0,021121447608131616;39,56827212190893;Not stored
76;RFR;0,5;Inverted;200;1620;180;cw;3;-0,02026399784247679;0,004367333651784468;0,001865526346933444;4,7687820046824285e-06;0,0018730867813424546;-0,026676066209302407;40,639020378106714;Not stored
77;GPR;0,5;Inverted;200;1620;180;cw;3;-0,02881943760365857;0,004536558489470474;0,0018671282012742625;4,81899006230616e-06;0,0018398490352292203;-0,03748541145564177;40,5001427294421;Not stored
78;ANN;0,5;Inverted;200;1620;180;cw;3;-0,5734240903147565;0,0076302890736880844;0,0021852815613311372;7,359096856749234e-06;0,0018001030888814573;-0,5843476603296085;44,785247480097055;Not stored
79;MTN;0,5;Inverted;200;1620;180;cw;3;-0,06277391925470477;0,0046517414352718715;0,0018954132978508285;4,955860217962072e-06;0,0017690271867798718;-0,06695233044088567;41,10453360160902;Not stored
80;RFR;0,5;Combined;200;1620;180;cm;3;-0,006283841704960658;0,00430514042383394;0,0019250206234284217;5,1348073884719e-06;0,001938542818750793;-0,017125135541935288;44,83543451545913;Not stored
81;GPR;0,5;Combined;200;1620;180;cm;3;-0,05312141200842224;0,00490099194288344;0,0019528374979257985;5,379390024152199e-06;0,0019979866834445043;-0,06557313517402297;45,246239710955486;Not stored
82;ANN;0,5;Combined;200;1620;180;cm;3;-0,10778891023192494;0,005195746316558681;0,002004499771581331;5,634765255825697e-06;0,001994522824920241;-0,11615897948692133;45,848349987889975;Not stored
83;MTN;0,5;Combined;200;1620;180;cm;3;-0,13786853704615853;0,0069177873411090385;0,0020305970123764175;5,830287471672627e-06;0,0018580572485501845;-0,1548888762969265;46,6710233021622;Not stored
84;RFR;0,5;Inverted;200;1620;180;cm;3;-0,05184941261335152;0,004966795224963286;0,0019450272365199358;5,326926426298592e-06;0,0018278616406518068;-0,05518091594537777;45,05607541262829;Not stored
85;GPR;0,5;Inverted;200;1620;180;cm;3;-0,09713801604347783;0,004583559176672643;0,0020602473804007928;5,6010669000674715e-06;0,002047442969796396;-0,109483861595435;47,20234598910055;Not stored
86;ANN;0,5;Inverted;200;1620;180;cm;3;-0,9569439025706996;0,012375235879915656;0,002471453695498261;1,1011822945169724e-05;0,002005800197975977;-1,181270115567616;50,25017541950771;Not stored
87;MTN;0,5;Inverted;200;1620;180;cm;3;-0,1950338047256912;0,00689131277463371;0,002033797248829129;6,078168117960114e-06;0,001699052571630227;-0,20399016031381634;46,65076798199447;Not stored
88;RFR;0,5;Combined;200;1620;180;lai;3;0,01681098669608716;5,433596093782894;2,4666211478467917;7,86487156558117;2,478599960442427;0,016065128652214544;88,01636045840701;Not stored
89;GPR;0,5;Combined;200;1620;180;lai;3;0,018598772852850054;5,438008386760974;2,449208932258335;7,844624570103409;2,521326415599942;0,01859812931528615;85,08746282541878;Not stored
90;ANN;0,5;Combined;200;1620;180;lai;3;-0,041169528715992554;6,283284905049221;2,493940243665295;8,329935889598922;2,338131686629189;-0,042116750353083265;87,13581116999276;Not stored
91;MTN;0,5;Combined;200;1620;180;lai;3;-0,07764502705798426;6,367879247875973;2,5168980562516894;8,623981468107962;2,4556889706404337;-0,0789033267196737;89,4798288666723;Not stored
92;RFR;0,5;Inverted;200;1620;180;lai;3;-0,05290132456404151;6,886453484474551;2,5095284585356255;8,493824688337192;2,5048100821761565;-0,06262006089760419;88,72184827444264;Not stored
93;GPR;0,5;Inverted;200;1620;180;lai;3;-0,02015591406302586;6,163096328867184;2,4450276142463823;8,15892062204121;2,3428747761685167;-0,020721882823486082;87,60912915456706;Not stored
94;ANN;0,5;Inverted;200;1620;180;lai;3;-0,8784574385214134;15,611747563662774;3,1100781234829356;15,817509775235846;2,770700134974226;-0,9788497899760646;92,44775261958918;Not stored
95;MTN;0,5;Inverted;200;1620;180;lai;3;-0,1152357680081566;6,748981975735519;2,5395442790179517;8,953679971547762;2,457088189817278;-0,1201502627771256;85,92664707121853;Not stored
96;RFR;0,5;Combined;200;1620;180;cab;4;0,05688855756384992;71,34298598846408;30,73286095564828;1270,2344930905322;29,49432081166818;0,03663111994155921;66,25459021294967;Not stored
97;GPR;0,5;Combined;200;1620;180;cab;4;0,09272845725254564;77,07525998159898;30,791927538234077;1216,7657643032344;30,26750262239947;0,07718277371112525;67,96687520790995;Not stored
98;ANN;0,5;Combined;200;1620;180;cab;4;0,0649745344763264;90,57668009904654;30,838769782681787;1252,47199998582;29,69613476848482;0,050102516902051586;67,24094706436499;Not stored
99;MTN;0,5;Combined;200;1620;180;cab;4;0,06799161070777104;79,55792704728873;30,727772972477407;1242,5768822070474;30,38873764160892;0,05760715371079472;69,55805155435088;Not stored
100;RFR;0,5;Inverted;200;1620;180;cab;4;-0,24639514453943145;109,96247263417423;38,45102158141951;2196,936558754116;33,82834006822408;-0,6661965358986304;65,58067813524578;Not stored
101;GPR;0,5;Inverted;200;1620;180;cab;4;-0,03676471703520834;83,02616591102753;31,82637938676545;1379,2929349254262;31,414971089996648;-0,046080780532641086;78,51652942982624;Not stored
102;ANN;0,5;Inverted;200;1620;180;cab;4;-0,3434609485142235;143,97755314394237;38,563524715301995;2296,559249058008;34,84360614676457;-0,7417521912587381;66,25888727701026;Not stored
103;MTN;0,5;Inverted;200;1620;180;cab;4;-0,06682578780920223;76,34198449324299;33,035822767665394;1455,5777706147062;32,14642177991654;-0,10393658363291647;75,45129165446795;Not stored
104;RFR;0,5;Combined;200;1620;180;cw;4;-0,022441846457416093;0,004370611676061541;0,0018531447078580093;4,79969160712317e-06;0,0019373525842849718;-0,033330626851997947;41,02141043261033;Not stored
105;GPR;0,5;Combined;200;1620;180;cw;4;-0,020767255456045408;0,0045596257794735095;0,001843354919053312;4,793775720085151e-06;0,0018266146812849276;-0,03205698934322343;40,80676328594406;Not stored
106;ANN;0,5;Combined;200;1620;180;cw;4;-0,08163411077423155;0,004570264187457543;0,0018881030718001315;5,127140159230141e-06;0,001820634966095339;-0,10382736816519267;42,489306537517535;Not stored
107;MTN;0,5;Combined;200;1620;180;cw;4;-0,03708322794793051;0,004459135361173264;0,0018521851761491924;4,859452181369037e-06;0,0018217460638871512;-0,04619654339440027;40,77667234474849;Not stored
108;RFR;0,5;Inverted;200;1620;180;cw;4;-0,0534690269947149;0,004692826890353336;0,001884773330245642;4,8932354620766956e-06;0,0019190466953369774;-0,0534697812372138;39,79918561743018;Not stored
109;GPR;0,5;Inverted;200;1620;180;cw;4;-0,05466782566144368;0,00449232194824584;0,0018885598462981368;4,942553665596809e-06;0,0019168422995856568;-0,06408754886274659;40,96902915374352;Not stored
110;ANN;0,5;Inverted;200;1620;180;cw;4;-0,32422277714815495;0,006591545777552835;0,002046907196063556;6,376191582349828e-06;0,001985428670387603;-0,37273695562851183;40,32951973979917;Not stored
111;MTN;0,5;Inverted;200;1620;180;cw;4;-0,04416005936182055;0,0052417487155405965;0,0018915019712137133;5,0379078713469734e-06;0,0018993422850732931;-0,08461645556470221;42,56813685373414;Not stored
112;RFR;0,5;Combined;200;1620;180;cm;4;-0,011291892186711339;0,004118654034158401;0,0019242368400762778;5,139237706016566e-06;0,0018947466288829398;-0,018002712243883057;44,40294578424402;Not stored
113;GPR;0,5;Combined;200;1620;180;cm;4;-0,03353012009548961;0,004255855165880714;0,0019319508483114098;5,25316719105164e-06;0,0020225885955780154;-0,0405703635970156;44,29067038648721;Not stored
114;ANN;0,5;Combined;200;1620;180;cm;4;-0,15288583637663278;0,006396271891490012;0,0020515578090153975;5,9381258379947965e-06;0,00188573098266149;-0,17624997217918104;47,640776007460715;Not stored
115;MTN;0,5;Combined;200;1620;180;cm;4;-0,22650934012161494;0,00805846021749863;0,002073214881110509;6,257631062707422e-06;0,00200956424719808;-0,2395389663723786;47,05703937418342;Not stored
116;RFR;0,5;Inverted;200;1620;180;cm;4;-0,026174472504546742;0,005047737660272982;0,001926470964441816;5,196291771550626e-06;0,0017809094234791164;-0,02930423141475491;44,54267492627399;Not stored
117;GPR;0,5;Inverted;200;1620;180;cm;4;-0,09736252051691752;0,004692232701272199;0,002042345601124029;5,582296929784459e-06;0,0019852086994350845;-0,10576582367816312;46,759395086161675;Not stored
118;ANN;0,5;Inverted;200;1620;180;cm;4;-0,22931917746506292;0,008826916476309687;0,002045278190382241;6,591565271326352e-06;0,0017789125897733102;-0,3056861168898779;40,80625638937856;Not stored
119;MTN;0,5;Inverted;200;1620;180;cm;4;-0,1370869216093058;0,005361603870026967;0,0020399443725468095;5,755042623830314e-06;0,00207408990124069;-0,13998404729939318;45,91224959761526;Not stored
120;RFR;0,5;Combined;200;1620;180;lai;4;0,030099873953161604;5,1802219609990106;2,4547386544872682;7,756571380956611;2,5209969146023354;0,029614024821332463;87,65844220711526;Not stored
121;GPR;0,5;Combined;200;1620;180;lai;4;0,03823689289844012;5,434573775957073;2,43319761841769;7,688320387105954;2,479248708974585;0,03815256639748377;84,46743661066482;Not stored
122;ANN;0,5;Combined;200;1620;180;lai;4;-0,036246738555775426;6,278475713589891;2,51648782134036;8,283065792304686;2,606033357400967;-0,03625306615090462;85,45029306554295;Not stored
123;MTN;0,5;Combined;200;1620;180;lai;4;-0,09983352380062027;7,23444911344823;2,488788791418518;8,799658578404076;2,4014687666797445;-0,10088141415271168;84,3867501657163;Not stored
124;RFR;0,5;Inverted;200;1620;180;lai;4;-0,030695357352876984;6,716448686753711;2,4933260902048517;8,283938270167118;2,6128528026972138;-0,03636221750654567;89,35590372302848;Not stored
125;GPR;0,5;Inverted;200;1620;180;lai;4;-0,03371915188574315;5,982262257863258;2,455528933989282;8,272883527093855;2,496280144641416;-0,03497921371393753;86,93931441789522;Not stored
126;ANN;0,5;Inverted;200;1620;180;lai;4;-0,4568413171449759;7,927888904115882;2,8931809237876513;11,985392862191837;2,764880221272703;-0,4994327479576539;94,83589768042461;Not stored
