;Model;Epochs;ValidType;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;Training_time;ModelName
73;ANN_optimized;50;Validation;cm;5;0,7720555695815379;0,0035074414302007847;0,0009063531150747543;1,3313528232871907e-06;0,0008124748846566961;0,7705544972944549;18,883703243958436;2,9298110008239746;not stored
74;MTN_optimized;50;Training;cm;5;0,5062124966477369;0,004782044845984546;0,001334060414806744;2,7636915408184516e-06;0,0011231278257208066;0,49573275691517227;30,644722608310726;6,61759352684021;not stored
75;MTN_optimized;50;Validation;cm;5;0,49916792078524963;0,004333086539415827;0,0014014779553392649;2,9073280615931523e-06;0,0012345277632131637;0,4989507387116705;30,567146256556583;6,61759352684021;not stored
76;ANN_optimized;50;Training;lai;5;0,683117485292468;4,865740597492925;1,3397111488640965;2,8045015805888185;1,086543389163769;0,6793195348001566;32,97774402963332;2,9298110008239746;not stored
77;ANN_optimized;50;Validation;lai;5;0,6698405572589883;4,945086025907408;1,2986002579015639;2,7533690477410038;1,0711285977857186;0,6687490068850095;34,55909776191528;2,9298110008239746;not stored
78;MTN_optimized;50;Training;lai;5;0,7250703424719056;4,104784310108892;1,2249348727619238;2,4594813751824462;1,027042485919581;0,7187708372129837;24,323659333322606;6,61759352684021;not stored
79;MTN_optimized;50;Validation;lai;5;0,7222894922018441;4,133429074003111;1,1849848968815246;2,3937228185971753;0,9088970267558061;0,7120171516590263;24,47640388719956;6,61759352684021;not stored
80;ANN_optimized;150;Training;cab;1;0,9915148514692698;15,215230540387466;2,679338271058386;11,348644491351639;2,34366370544452;0,9913911676846913;6,3474340453022;7,48095703125;not stored
81;ANN_optimized;150;Validation;cab;1;0,9909198769726334;15,925599380342959;2,7560862233713497;11,961551718171062;2,367554096066243;0,9907313789970216;5,831812397995129;7,48095703125;not stored
82;MTN_optimized;150;Training;cab;1;0,9975734588751989;11,581455201511702;1,191069878134138;3,2106155680393993;0,7677916709997206;0,9975644975860126;2,0931761975014997;15,623608589172363;not stored
83;MTN_optimized;150;Validation;cab;1;0,9982629344368563;5,54706697067499;1,1358894039272334;2,2654256365694057;0,8365393563934447;0,9982445946704477;1,923018961667691;15,623608589172363;not stored
84;ANN_optimized;150;Training;cw;1;0,962096356530487;0,002822924117250783;0,00027348762545887024;2,068563179327987e-07;0,00016688248714700734;0,9620717613865304;5,921043937232087;7,48095703125;not stored
85;ANN_optimized;150;Validation;cw;1;0,9619870830579886;0,002660740835763792;0,00028383052888418796;2,04324230782278e-07;0,00016694301816342402;0,961483862421533;6,050096669965855;7,48095703125;not stored
86;MTN_optimized;150;Training;cw;1;0,9456285573301525;0,002486922883651054;0,0004064209044012608;3,372601383514626e-07;0,00029486300177141355;0,9381615068370227;8,929976639926778;15,623608589172363;not stored
